"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-67.16075,18.44494,9.75,"Pomacanthus paru"
"gbif",-67.16822,18.46281,11.58,"Pomacanthus paru"
"gbif",-80.125336,25.76215,NA,"Pomacanthus paru"
"gbif",-61.079272,13.864177,NA,"Pomacanthus paru"
"gbif",-35.21775,-5.630828,NA,"Pomacanthus paru"
"gbif",-61.804301,16.275274,NA,"Pomacanthus paru"
"gbif",-86.92655,20.552711,NA,"Pomacanthus paru"
"gbif",-86.928653,20.552851,NA,"Pomacanthus paru"
"gbif",-77.208056,25.086389,NA,"Pomacanthus paru"
"gbif",-61.243048,13.154997,NA,"Pomacanthus paru"
"gbif",-69.548492,19.299861,NA,"Pomacanthus paru"
"gbif",-68.289499,12.104704,NA,"Pomacanthus paru"
"gbif",-68.298862,12.191591,NA,"Pomacanthus paru"
"gbif",-87.313905,20.395685,NA,"Pomacanthus paru"
"gbif",-68.29884,12.191738,NA,"Pomacanthus paru"
"gbif",-68.283104,12.083176,NA,"Pomacanthus paru"
"gbif",-87.997222,17.834755,NA,"Pomacanthus paru"
"gbif",-61.53998,16.4462,NA,"Pomacanthus paru"
"gbif",-61.72642,15.98449,NA,"Pomacanthus paru"
"gbif",-87.023159,20.377602,NA,"Pomacanthus paru"
"gbif",-87.023238,20.376812,NA,"Pomacanthus paru"
"gbif",-87.021953,20.376904,NA,"Pomacanthus paru"
"obis",-80.3467167,25.0377667,6.7,"Pomacanthus paru"
"obis",-83.07972,24.67313,22.3,"Pomacanthus paru"
"obis",-83.0624667,24.6782333,22.9,"Pomacanthus paru"
"obis",-83.0162333,24.71045,30.2,"Pomacanthus paru"
"obis",-80.1043499,25.5135667,12.2,"Pomacanthus paru"
"obis",-81.86894,24.45666,8.2,"Pomacanthus paru"
"obis",-80.7622167,24.7831667,5.9,"Pomacanthus paru"
"obis",-81.650567,24.56735,3.1,"Pomacanthus paru"
"obis",-80.0983666,25.7128,7.6,"Pomacanthus paru"
"obis",-80.26182,25.13892,6.4,"Pomacanthus paru"
"obis",-81.3918332,24.5663334,7.3,"Pomacanthus paru"
"obis",-80.21815,25.19875,20.4,"Pomacanthus paru"
"obis",-80.15,25.38559,7.9,"Pomacanthus paru"
"obis",-80.96475,24.70082,7.9,"Pomacanthus paru"
"obis",-80.687,24.8044,8.4,"Pomacanthus paru"
